Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],EdaArousalMean [],EdaSclMean [uS],EdaScrAmplitudesMean [uS],EdaScrCount [],EdaScrEnergiesMean [uSs],EdaScrHalfRecoveryTimesMean [s],EdaScrRiseTimesMean [s],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Marker,Segment id,
0,0,00:00:00,2023-07-11,19:12:54,1,109.3843043,2,0,0.753707478,0,0,0,0,0,91.31546098,89.8557162,1.323352829,0.505004464,0,0,29.3,0,29.3,,0,
1,0,00:00:01,2023-07-11,19:12:55,1,109.672683,2,0,1.617374508,0,0,0,0,0,91.31546098,89.8557162,1.323352829,0.129869649,0,0,29.4,0.253151177,29.4,,0,
2,0,00:00:02,2023-07-11,19:12:56,1,109.8553791,2,0,1.566293948,0,0,0,0,0,91.31546098,89.8557162,1.323352829,0.122595947,0,0,29.4,0.133095599,29.4,,0,
3,0,00:00:03,2023-07-11,19:12:57,1,109.950822,2,0,1.148685407,0,0,0,0,0,91.31546098,89.8557162,1.323352829,0.064351269,0,0,29.4,0.062844983,29.4,,0,
4,0,00:00:04,2023-07-11,19:12:58,1,109.9895669,2,0,0.686088526,0,0,0,0,0,90.12304262,90.22653982,0.257798241,0.043742485,0,0,29.4,0.030651678,29.4,,0,
5,0,00:00:05,2023-07-11,19:12:59,1,109.9951719,2,0,0.322125013,0,0,0,0,0,90.12304262,90.22653982,0.257798241,0.030168172,0,0,29.4,0.018866373,29.4,,0,
6,0,00:00:06,2023-07-11,19:13:00,1,109.9858452,2,0,0.090882954,0,0,0,0,0,90.12304262,90.22653982,0.257798241,0.009213039,0,0,29.4,0.015213702,29.4,,0,
7,0,00:00:07,2023-07-11,19:13:01,1,109.9746162,2,0,-0.027225715,0,0,0,0,0,90.12304262,90.22653982,0.257798241,0.009664974,0,0,29.4,0.013342969,29.4,,0,
8,0,00:00:08,2023-07-11,19:13:02,1,109.968041,2,0,-0.068902969,0,0,0,0,0,90.12770575,90.22305834,0.257029077,0.002708169,0,0,29.4,0.010497016,29.4,,0,
9,0,00:00:09,2023-07-11,19:13:03,1,109.9662004,2,0,-0.068595394,0,0,0,0,0,90.12770575,90.22305834,0.257029077,0.003129715,0,0,29.4,0.007607782,29.4,,0,
10,0,00:00:10,2023-07-11,19:13:04,1,109.9694252,2,0,-0.05109983,0,0,0,0,0,90.12770575,90.22305834,0.257029077,0.001157212,0,0,29.4,0.00918337,29.4,,0,
11,0,00:00:11,2023-07-11,19:13:05,1,109.9769756,2,0,-0.030965927,0,0,0,0,0,90.12770575,90.22305834,0.257029077,0.0013913,0,0,29.4,0.015568389,29.4,,0,
12,0,00:00:12,2023-07-11,19:13:06,1,109.9866308,2,0,-0.014845147,0,0,0,0,0,90.13380127,90.22339402,0.260399399,0.001424185,0,0,29.4,0.021276203,29.4,,0,
13,0,00:00:13,2023-07-11,19:13:07,1,109.9953279,2,0,-0.004456679,0,0,0,0,0,90.13380127,90.22339402,0.260399399,0.001191246,0,0,29.4,0.0169457,29.4,,0,
14,0,00:00:14,2023-07-11,19:13:08,1,110.0010723,2,0,0.00094396,0,0,0,0,0,90.13380127,90.22339402,0.260399399,0.001018551,0,0,29.4,0.000414385,29.4,,0,
15,0,00:00:15,2023-07-11,19:13:09,1,110.0025318,2,0,0.002925902,0,0,0,0,0,90.13380127,90.22339402,0.260399399,0.001368803,0,0,29.4,0.014020283,29.4,,0,
16,0,00:00:16,2023-07-11,19:13:10,1,109.998859,2,0,0.003000088,0,0,0,0,0,90.13695593,90.22562512,0.263939038,0.001084247,0,0,29.4,0.001428245,29.4,,0,
17,0,00:00:17,2023-07-11,19:13:11,1,109.9935185,2,0,0.002270942,0,0,0,0,0,90.13695593,90.22562512,0.263939038,0.000852353,0,0,29.4,-0.005472052,29.4,,0,
18,0,00:00:18,2023-07-11,19:13:12,1,109.9949649,2,0,0.001396062,0,0,0,0,0,90.13695593,90.22562512,0.263939038,0.001144458,0,0,29.4,-0.00873957,29.4,,0,
