Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],Hr [1/min],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Marker,Segment id,
0,0,00:00:00,2023-07-11,18:46:09,7,114.4809731,1,,88.26168534,2.207912535,91.36088304,0.324594368,0,1,27.3,0,27.3,,0,
1,0,00:00:01,2023-07-11,18:46:10,7,114.6355142,1,,88.26168534,2.207912535,91.36088304,0.38450013,0,1,27.4,0.123620566,27.4,,0,
2,0,00:00:02,2023-07-11,18:46:11,7,114.6972936,1,,88.26168534,2.207912535,91.36088304,0.232444697,0,1,27.4,0.000668225,27.4,,0,
3,0,00:00:03,2023-07-11,18:46:12,7,114.661074,1,,88.26168534,2.207912535,91.36088304,0.35758,0,1,27.4,-0.06695209,27.4,,0,
4,0,00:00:04,2023-07-11,18:46:13,7,114.5514544,3,,60.31311318,138.4763692,63.85319308,0.592502831,0,0,27.4,-0.044937074,27.4,,0,
5,0,00:00:05,2023-07-11,18:46:14,7,114.4181186,3,,60.31311318,138.4763692,63.85319308,0.544618511,0,2,27.5,0.010456201,27.5,,0,
6,0,00:00:06,2023-07-11,18:46:15,7,114.3237404,3,,60.31311318,138.4763692,63.85319308,0.372579832,0,0,27.5,0.040741032,27.5,,0,
7,0,00:00:07,2023-07-11,18:46:16,7,114.3048976,3,,60.31311318,138.4763692,63.85319308,0.811531984,0,2,27.5,0.043332259,27.5,,0,
8,0,00:00:08,2023-07-11,18:46:17,7,114.3672882,5,,160.9240213,101.2530926,74.80131734,0.509503749,0,2,27.5,0.04014208,27.5,,0,
9,0,00:00:09,2023-07-11,18:46:18,7,114.4846434,5,,160.9240213,101.2530926,74.80131734,0.378087105,0,1,27.5,0.033706745,27.5,,0,
10,0,00:00:10,2023-07-11,18:46:19,7,114.6171202,5,,160.9240213,101.2530926,74.80131734,0.226172563,0,0,27.5,0.018801702,27.5,,0,
11,0,00:00:11,2023-07-11,18:46:20,7,114.7296923,5,,160.9240213,101.2530926,74.80131734,0.149766611,0,0,27.5,0.00637252,27.5,,0,
12,0,00:00:12,2023-07-11,18:46:21,2,114.8075988,5,,169.0054149,82.65658308,81.86259617,0.102661973,0,0,27.5,0.005247973,27.5,,0,
13,0,00:00:13,2023-07-11,18:46:22,2,114.8537101,5,,169.0054149,82.65658308,81.86259617,0.130654661,0,0,27.5,0.007292325,27.5,,0,
