Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],EdaArousalMean [],EdaSclMean [uS],EdaScrAmplitudesMean [uS],EdaScrCount [],EdaScrEnergiesMean [uSs],EdaScrHalfRecoveryTimesMean [s],EdaScrRiseTimesMean [s],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Markers,Segment id,
0,0,00:00:00,2023-07-11,16:50:37,1,97.60843526,2,0,0.741405393,0,0,0,0,0,92.47768824,91.85326164,3.094802965,0.341914133,0,0,28.6,0,28.6,,0,
1,0,00:00:01,2023-07-11,16:50:38,1,97.69462102,2,0,1.589759744,0,0,0,0,0,92.47768824,91.85326164,3.094802965,0.147993282,0,0,28.7,0.072898113,28.7,,0,
2,0,00:00:02,2023-07-11,16:50:39,1,97.74094383,2,0,1.539278257,0,0,0,0,0,92.47768824,91.85326164,3.094802965,0.161598347,0,0,28.7,0.028654527,28.7,,0,
3,0,00:00:03,2023-07-11,16:50:40,1,97.75248147,2,0,1.128756737,0,0,0,0,0,92.47768824,91.85326164,3.094802965,0.351215005,0,0,28.7,0.027215136,28.7,,0,
4,0,00:00:04,2023-07-11,16:50:41,1,97.75345791,2,0,0.674120476,0,0,0,0,0,52.69191739,114.2721808,47.08384926,0.511601261,0,0,28.7,0.05112002,28.7,,0,
5,0,00:00:05,2023-07-11,16:50:42,1,97.77679472,2,0,0.320603138,0,0,0,0,0,52.69191739,114.2721808,47.08384926,0.632631703,0,0,28.8,0.060947672,28.8,,0,
6,0,00:00:06,2023-07-11,16:50:43,1,97.83368702,2,0,0.62617234,0,0,0,0,0,52.69191739,114.2721808,47.08384926,0.192200482,0,0,28.8,0.042490566,28.8,,0,
7,0,00:00:07,2023-07-11,16:50:44,1,97.91868333,2,0,2.383399822,0,0,0,0,0,52.69191739,114.2721808,47.08384926,0.312174541,0,0,28.8,0.021129125,28.8,,0,
8,0,00:00:08,2023-07-11,16:50:45,1,98.01580292,2,0,4.497232471,0,0,0,0,0,102.0583039,91.50758456,12.1550011,0.43263766,0,1,28.8,0.017032904,28.8,,0,
9,0,00:00:09,2023-07-11,16:50:46,1,98.09934395,2,0,6.335324417,0,0,0,0,0,102.0583039,91.50758456,12.1550011,0.330602688,0,1,28.8,0.021937037,28.8,,0,
10,0,00:00:10,2023-07-11,16:50:47,1,98.14772655,2,0,7.658180525,0,0,0,0,0,102.0583039,91.50758456,12.1550011,0.264218943,0,1,28.8,0.027183041,28.8,,0,
11,0,00:00:11,2023-07-11,16:50:48,1,98.14549734,2,0.191591918,8.346654569,0.22626844,1,0.116669664,1.40625,1.03125,102.0583039,91.50758456,12.1550011,0.376562642,0,1,28.8,0.025457124,28.8,,0,
12,0,00:00:12,2023-07-11,16:50:49,7,98.10542147,1,0.178414373,8.569171676,0,0,0,0,0,79.14647053,34.64838802,57.55762601,0.345616421,0,2,28.8,0.019932175,28.8,,0,
13,0,00:00:13,2023-07-11,16:50:50,7,98.06226422,1,0.138949253,8.52662567,0,0,0,0,0,79.14647053,34.64838802,57.55762601,0.40558076,0,1,28.8,0.018183165,28.8,,0,
14,0,00:00:14,2023-07-11,16:50:51,7,98.03819525,1,0.204928804,8.318166805,0.238296517,1,0.141488557,1.875,1.1875,79.14647053,34.64838802,57.55762601,0.334994913,0,2,28.8,0.019709,28.8,,0,
15,0,00:00:15,2023-07-11,16:50:52,7,98.04304497,1,0.1940475,8.082971499,0,0,0,0,0,79.14647053,34.64838802,57.55762601,0.279037239,0,1,28.9,0.02669018,28.9,,0,
16,0,00:00:16,2023-07-11,16:50:53,7,98.07229524,2,0.151124345,7.912117033,0,0,0,0,0,74.23091646,57.94418209,36.60361444,0.260259282,0,2,28.9,0.024804408,28.9,,0,
17,0,00:00:17,2023-07-11,16:50:54,7,98.11364836,2,0.117695758,7.772658761,0,0,0,0,0,74.23091646,57.94418209,36.60361444,0.224727327,0,1,28.9,0.023824094,28.9,,0,
18,0,00:00:18,2023-07-11,16:50:55,7,98.16300199,2,0.091661548,7.641311377,0,0,0,0,0,74.23091646,57.94418209,36.60361444,0.130503929,0,0,28.9,0.0235108,28.9,,0,
19,0,00:00:19,2023-07-11,16:50:56,7,98.216804,2,0.734062024,7.522404932,1.010070794,1,0.552382466,0,1.09375,74.23091646,57.94418209,36.60361444,0.266945289,0,0,28.9,0.023165043,28.9,,0,
20,0,00:00:20,2023-07-11,16:50:57,7,98.25776058,2,0.828296958,7.497720045,0,0,0,0,0,44.27819492,99.60757491,47.32025629,0.312511912,0,0,28.9,0.021727787,28.9,,1,
21,0,00:00:21,2023-07-11,16:50:58,7,98.27419266,2,0.64507832,7.656487285,0,0,0,0,0,44.27819492,99.60757491,47.32025629,0.281613021,0,0,28.9,0.0190089,28.9,,1,
22,0,00:00:22,2023-07-11,16:50:59,7,98.26940798,2,0.502387501,7.907896905,0,0,0,0,0,44.27819492,99.60757491,47.32025629,0.216513466,0,1,28.9,0.015560814,28.9,,1,
23,0,00:00:23,2023-07-11,16:51:00,7,98.25663019,2,0.391259779,8.138102132,0,0,0,0,0,44.27819492,99.60757491,47.32025629,0.17646453,0,1,28.9,0.012106036,28.9,,1,
24,0,00:00:24,2023-07-11,16:51:01,1,98.25067521,2,0.304713422,8.267832315,0,0,0,0,0,42.03079169,96.80109077,48.77835427,0.236212425,0,1,28.9,0.0094951,28.9,,1,
25,0,00:00:25,2023-07-11,16:51:02,1,98.25880469,2,0.237311052,8.422261385,0,0,0,0,0,42.03079169,96.80109077,48.77835427,0.207250655,0,1,28.9,0.008367195,28.9,,1,
26,0,00:00:26,2023-07-11,16:51:03,1,98.28100616,2,0.184818033,8.653640981,0,0,0,0,0,42.03079169,96.80109077,48.77835427,0.166631405,0,1,28.9,0.008977264,28.9,,1,
27,0,00:00:27,2023-07-11,16:51:04,1,98.31111924,2,0.143936429,8.98608954,0,0,0,0,0,42.03079169,96.80109077,48.77835427,0.137371842,0,0,28.9,0.01055707,28.9,,1,
28,0,00:00:28,2023-07-11,16:51:05,1,98.3456735,2,0.112097803,9.280574723,0,0,0,0,0,70.32142398,94.84511756,20.31457129,0.205928456,0,0,28.9,0.011826626,28.9,,1,
