Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],EdaArousalMean [],EdaSclMean [uS],EdaScrAmplitudesMean [uS],EdaScrCount [],EdaScrEnergiesMean [uSs],EdaScrHalfRecoveryTimesMean [s],EdaScrRiseTimesMean [s],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Marker,Segment id,
0,0,00:00:00,2023-07-11,18:45:49,7,108.1804171,2,0,0.741360576,0,0,0,0,0,91.34060823,90.92250725,1.627439939,0.333548603,0,0,28.3,0,28.3,,0,
1,0,00:00:01,2023-07-11,18:45:50,7,108.1871023,2,0,1.589656499,0,0,0,0,0,91.34060823,90.92250725,1.627439939,0.763398338,0,0,28.4,0.005136695,28.4,,0,
2,0,00:00:02,2023-07-11,18:45:51,7,108.1891419,2,0,1.539176695,0,0,0,0,0,91.34060823,90.92250725,1.627439939,0.203713386,0,0,28.4,-0.002569137,28.4,,0,
3,0,00:00:03,2023-07-11,18:45:52,7,108.1846817,2,0,1.128681583,0,0,0,0,0,91.34060823,90.92250725,1.627439939,0.071001676,0,0,28.4,-0.014782223,28.4,,0,
4,0,00:00:04,2023-07-11,18:45:53,7,108.1735801,2,0,0.674075213,0,0,0,0,0,90.423771,89.72033393,0.507737944,0.04432974,0,0,28.4,-0.041928088,28.4,,0,
5,0,00:00:05,2023-07-11,18:45:54,7,108.1512716,2,0,0.316439621,0,0,0,0,0,90.423771,89.72033393,0.507737944,0.029782185,0,0,28.4,-0.084004512,28.4,,0,
6,0,00:00:06,2023-07-11,18:45:55,7,108.1112221,2,0,0.089239462,0,0,0,0,0,90.423771,89.72033393,0.507737944,0.011239375,0,0,28.4,-0.088504241,28.4,,0,
7,0,00:00:07,2023-07-11,18:45:56,7,108.0397964,2,0,-0.026790864,0,0,0,0,0,90.423771,89.72033393,0.507737944,0.299757615,0,1,28.4,-0.061014458,28.4,,0,
8,0,00:00:08,2023-07-11,18:45:57,7,107.9192557,5,0,-0.067723527,0,0,0,0,0,141.9005739,65.76164538,62.57182806,0.680517789,0,3,28.4,-0.050071334,28.4,,0,
9,0,00:00:09,2023-07-11,18:45:58,7,107.750599,5,0,-0.067375243,0,0,0,0,0,141.9005739,65.76164538,62.57182806,0.244288731,0,0,28.4,-0.050980161,28.4,,0,
10,0,00:00:10,2023-07-11,18:45:59,7,107.5779001,5,0,-0.050032056,0,0,0,0,0,141.9005739,65.76164538,62.57182806,0.6510819,0,1,28.4,-0.052688765,28.4,,0,
11,0,00:00:11,2023-07-11,18:46:00,7,107.4742878,5,0,-0.026221384,0,0,0,0,0,141.9005739,65.76164538,62.57182806,0.350316579,0,0,28.5,-0.048265257,28.5,,0,
12,0,00:00:12,2023-07-11,18:46:01,2,107.4596967,5,0,0.532810267,0,0,0,0,0,144.3678229,56.08905048,80.34258234,0.229090918,0,0,28.5,-0.024964815,28.5,,0,
13,0,00:00:13,2023-07-11,18:46:02,2,107.4880435,5,0,1.523428727,0,0,0,0,0,144.3678229,56.08905048,80.34258234,0.334584893,0,0,28.5,0.003421024,28.5,,0,
14,0,00:00:14,2023-07-11,18:46:03,2,107.5042708,5,0,2.647614133,0,0,0,0,0,144.3678229,56.08905048,80.34258234,0.182842693,0,0,28.5,0.018852481,28.5,,0,
15,0,00:00:15,2023-07-11,18:46:04,2,107.4875785,5,0,4.572872721,0,0,0,0,0,144.3678229,56.08905048,80.34258234,0.203583061,0,0,28.5,-0.007919852,28.5,,0,
16,0,00:00:16,2023-07-11,18:46:05,2,107.446711,5,0,6.722637986,0,0,0,0,0,161.4958511,72.1182359,94.60428627,0.207329043,0,0,28.5,-0.010234778,28.5,,0,
17,0,00:00:17,2023-07-11,18:46:06,2,107.389071,5,0,8.376581094,0,0,0,0,0,161.4958511,72.1182359,94.60428627,0.403860255,0,0,28.5,-0.012990024,28.5,,0,
18,0,00:00:18,2023-07-11,18:46:07,2,107.3276655,5,0,9.492434853,0,0,0,0,0,161.4958511,72.1182359,94.60428627,0.32280526,0,0,28.5,-0.015358428,28.5,,0,
19,0,00:00:19,2023-07-11,18:46:08,2,107.2674424,5,0,10.02028564,0,0,0,0,0,161.4958511,72.1182359,94.60428627,0.188775936,0,0,28.5,-0.016829803,28.5,,0,
20,0,00:00:20,2023-07-11,18:46:09,2,107.2094928,5,0,10.06584751,0,0,0,0,0,158.7544591,103.4367943,106.1438518,0.128492614,0,0,28.5,-0.017113342,28.5,,1,
21,0,00:00:21,2023-07-11,18:46:10,2,107.1723083,5,1.176930157,9.850663671,1.304783905,1,1.121298668,2.78125,1.71875,158.7544591,103.4367943,106.1438518,0.195396769,0,1,28.5,-0.016077217,28.5,,1,
22,0,00:00:22,2023-07-11,18:46:11,2,107.1956125,5,1.012881395,9.687491916,0,0,0,0,0,158.7544591,103.4367943,106.1438518,0.190875411,0,0,28.5,-0.013201128,28.5,,1,
23,0,00:00:23,2023-07-11,18:46:12,2,107.2997923,5,0.788832824,9.730150754,0,0,0,0,0,158.7544591,103.4367943,106.1438518,0.231787147,0,1,28.5,-0.008079282,28.5,,1,
24,0,00:00:24,2023-07-11,18:46:13,7,107.4575786,5,0.625325925,9.770454099,0.51185525,1,0.191945719,0,0.75,165.333692,75.61188611,87.21668382,0.20198802,0,1,28.5,-0.001265008,28.5,,1,
25,0,00:00:25,2023-07-11,18:46:14,7,107.6305792,5,0.532339129,9.755448563,0,0,0,1.96875,0,165.333692,75.61188611,87.21668382,0.185331507,0,1,28.5,0.00539318,28.5,,1,
26,0,00:00:26,2023-07-11,18:46:15,7,107.79335,5,0.414880008,9.926621753,0,0,0,0,0,165.333692,75.61188611,87.21668382,0.321617217,0,1,28.5,0.00932587,28.5,,1,
27,0,00:00:27,2023-07-11,18:46:16,7,107.9167254,5,0.323108875,10.40631379,0,0,0,0,0,165.333692,75.61188611,87.21668382,0.565136797,0,2,28.5,0.01014869,28.5,,1,
28,0,00:00:28,2023-07-11,18:46:17,7,107.9684001,5,0.251637445,11.17964693,0,0,0,0,0,164.9187628,79.86545544,78.94995943,0.36951954,0,2,28.5,0.009790367,28.5,,1,
29,0,00:00:29,2023-07-11,18:46:18,7,107.9507414,5,0.195975439,12.01752919,0,0,0,0,0,164.9187628,79.86545544,78.94995943,0.417575885,0,1,28.6,0.010200828,28.6,,1,
30,0,00:00:30,2023-07-11,18:46:19,7,107.8902938,5,0.152625825,11.41211562,0,0,0,0,0,164.9187628,79.86545544,78.94995943,0.146412509,0,0,28.6,0.011884651,28.6,,1,
31,0,00:00:31,2023-07-11,18:46:20,7,107.8124312,5,0.118865112,9.820313979,0,0,0,0,0,164.9187628,79.86545544,78.94995943,0.113158789,0,0,28.6,0.013910989,28.6,,1,
32,0,00:00:32,2023-07-11,18:46:21,7,107.7392873,5,0.092572243,8.219742491,0,0,0,0,0,162.0809648,81.76670576,105.8020318,0.097112404,0,0,28.6,0.015427701,28.6,,1,
33,0,00:00:33,2023-07-11,18:46:22,7,107.6855158,5,0.072095335,7.24314376,0,0,0,0,0,162.0809648,81.76670576,105.8020318,0.108974728,0,0,28.6,0.015854614,28.6,,1,
34,0,00:00:34,2023-07-11,18:46:23,7,107.6549847,5,0.056147903,6.873694663,0,0,0,0,0,162.0809648,81.76670576,105.8020318,0.125266565,0,0,28.6,0.01546397,28.6,,1,
35,0,00:00:35,2023-07-11,18:46:24,7,107.6449828,5,0.043728031,6.832889364,0,0,0,0,0,162.0809648,81.76670576,105.8020318,0.081420429,0,0,28.6,0.015160491,28.6,,1,
36,0,00:00:36,2023-07-11,18:46:25,2,107.6569637,5,0.034055425,7.221347567,0,0,0,0,0,163.6087849,74.76261866,95.89822663,0.063998224,0,0,28.6,0.015117447,28.6,,1,
37,0,00:00:37,2023-07-11,18:46:26,2,107.6849565,5,0.026522392,7.659002546,0,0,0,0,0,163.6087849,74.76261866,95.89822663,0.148495718,0,0,28.6,0.014445932,28.6,,1,
38,0,00:00:38,2023-07-11,18:46:27,2,107.7139137,5,0.020655659,7.740687937,0,0,0,0,0,163.6087849,74.76261866,95.89822663,0.171761731,0,0,28.6,0.012073965,28.6,,1,
39,0,00:00:39,2023-07-11,18:46:28,2,107.7343023,5,0.016086644,7.741406907,0,0,0,0,0,163.6087849,74.76261866,95.89822663,0.128554247,0,0,28.6,0.007138804,28.6,,1,
40,0,00:00:40,2023-07-11,18:46:29,2,107.744738,5,0.012528291,7.865445603,0,0,0,0,0,160.0676886,70.75406134,94.99060179,0.067013174,0,0,28.6,-0.000914425,28.6,,2,
41,0,00:00:41,2023-07-11,18:46:30,2,107.7540087,5,0.009757043,8.081137921,0,0,0,0,0,160.0676886,70.75406134,94.99060179,0.062955187,0,0,28.6,-0.010650632,28.6,,2,
42,0,00:00:42,2023-07-11,18:46:31,2,107.7719642,5,0.281831427,8.518088627,0.743414322,1,0.267164522,0,0.71875,160.0676886,70.75406134,94.99060179,0.070555041,0,0,28.6,-0.019339438,28.6,,2,
43,0,00:00:43,2023-07-11,18:46:32,2,107.8000948,5,0.664047671,8.954402158,0,0,0,1.625,0,160.0676886,70.75406134,94.99060179,0.091550811,0,0,28.7,-0.024875278,28.7,,2,
44,0,00:00:44,2023-07-11,18:46:33,2,107.8322334,5,0.517319003,9.611972594,0,0,0,0,0,168.5258202,83.88631843,80.32756133,0.126842122,0,0,28.7,-0.02704037,28.7,,2,
45,0,00:00:45,2023-07-11,18:46:34,2,107.8501297,5,0.402888444,10.36142072,0,0,0,0,0,168.5258202,83.88631843,80.32756133,0.124941279,0,0,28.7,-0.026582599,28.7,,2,
46,0,00:00:46,2023-07-11,18:46:35,2,107.8364744,5,0.313769836,10.4355444,0,0,0,0,0,168.5258202,83.88631843,80.32756133,0.19614808,0,0,28.7,-0.024291251,28.7,,2,
47,0,00:00:47,2023-07-11,18:46:36,2,107.7874493,5,0.244364194,9.714083844,0,0,0,0,0,168.5258202,83.88631843,80.32756133,0.425926518,0,0,28.7,-0.021465629,28.7,,2,
48,0,00:00:48,2023-07-11,18:46:37,2,107.7158976,5,0.190311026,9.008109161,0,0,0,0,0,125.9023981,141.7844317,101.3633257,0.30759026,0,0,28.7,-0.019074219,28.7,,2,
49,0,00:00:49,2023-07-11,18:46:38,2,107.649147,5,0.148214376,8.476230802,0,0,0,0,0,125.9023981,141.7844317,101.3633257,0.172265842,0,0,28.7,-0.017275141,28.7,,2,
50,0,00:00:50,2023-07-11,18:46:39,2,107.6107142,5,0.115429472,7.959483532,0,0,0,0,0,125.9023981,141.7844317,101.3633257,0.198010281,0,0,28.7,-0.016122761,28.7,,2,
51,0,00:00:51,2023-07-11,18:46:40,2,107.6145446,5,0.089896563,7.548245567,0,0,0,0,0,125.9023981,141.7844317,101.3633257,0.214441491,0,0,28.7,-0.015758534,28.7,,2,
52,0,00:00:52,2023-07-11,18:46:41,2,107.6499372,5,0.070011514,7.275742217,0,0,0,0,0,143.5916498,118.8660415,69.80054508,0.228413493,0,0,28.7,-0.015941358,28.7,,2,
53,0,00:00:53,2023-07-11,18:46:42,2,107.6646039,5,0.054525022,7.194269199,0,0,0,0,0,143.5916498,118.8660415,69.80054508,0.574670321,0,0,28.7,-0.01599764,28.7,,2,
54,0,00:00:54,2023-07-11,18:46:43,2,107.6040609,5,0.04246413,7.504517475,0,0,0,0,0,143.5916498,118.8660415,69.80054508,0.364649854,0,0,28.7,-0.015238979,28.7,,2,
55,0,00:00:55,2023-07-11,18:46:44,2,107.4844817,5,0.033071097,7.895213566,0,0,0,0,0,143.5916498,118.8660415,69.80054508,0.560551762,0,0,28.7,-0.01309997,28.7,,2,
56,0,00:00:56,2023-07-11,18:46:45,2,107.3558817,5,0.025755797,8.103707257,0,0,0,0,0,127.486073,137.2978809,107.4156859,0.200397372,0,0,28.8,-0.009463376,28.8,,2,
57,0,00:00:57,2023-07-11,18:46:46,2,107.2470171,5,0.020058635,8.139853665,0,0,0,0.90625,0,127.486073,137.2978809,107.4156859,0.326860108,0,0,28.8,-0.004654023,28.8,,2,
58,0,00:00:58,2023-07-11,18:46:47,2,107.1665706,5,0.01562168,8.080071241,0,0,0,0,0,127.486073,137.2978809,107.4156859,0.17774347,0,0,28.8,0.00091735,28.8,,2,
59,0,00:00:59,2023-07-11,18:46:48,2,107.1193984,5,0.012166177,7.99567471,0,0,0,0,0,127.486073,137.2978809,107.4156859,0.191013051,0,0,28.8,0.006913335,28.8,,2,
60,0,00:01:00,2023-07-11,18:46:49,2,107.1079849,5,0.009475028,7.92377468,0,0,0,0,0,162.3930329,88.20866373,107.5096387,0.255090171,0,0,28.8,0.012927246,28.8,,3,
61,0,00:01:01,2023-07-11,18:46:50,2,107.1167841,5,0.007379159,7.821612748,0,0,0,0,0,162.3930329,88.20866373,107.5096387,0.307284885,0,0,28.8,0.018281644,28.8,,3,
62,0,00:01:02,2023-07-11,18:46:51,2,107.1323635,5,0.005746895,7.627789819,0,0,0,0,0,162.3930329,88.20866373,107.5096387,0.216911163,0,0,28.8,0.02266949,28.8,,3,
63,0,00:01:03,2023-07-11,18:46:52,2,107.1540056,5,0.004475686,7.490510194,0,0,0,0,0,162.3930329,88.20866373,107.5096387,0.285762347,0,0,28.8,0.025782251,28.8,,3,
64,0,00:01:04,2023-07-11,18:46:53,2,107.1774227,5,0.154938238,7.347166789,0.964069442,1,0.451907551,0,0.9375,164.8236597,83.18174839,103.4928185,0.250720608,0,0,28.8,0.026764199,28.8,,3,
65,0,00:01:05,2023-07-11,18:46:54,2,107.1999662,5,0.897733496,7.127395974,0,0,0,0,0,164.8236597,83.18174839,103.4928185,0.143818723,0,0,28.8,0.025081393,28.8,,3,
66,0,00:01:06,2023-07-11,18:46:55,2,107.2226571,5,0.708566597,7.054453658,0,0,0,0,0,164.8236597,83.18174839,103.4928185,0.052086872,0,0,28.8,0.020990453,28.8,,3,
67,0,00:01:07,2023-07-11,18:46:56,2,107.2499822,5,0.551832221,7.073800747,0,0,0,0,0,164.8236597,83.18174839,103.4928185,0.043195014,0,0,28.8,0.015858233,28.8,,3,
68,0,00:01:08,2023-07-11,18:46:57,2,107.2923719,5,0.429767366,7.109739938,0,0,0,0,0,163.7367989,83.15658634,104.6809403,0.035155929,0,0,28.8,0.012041306,28.8,,3,
69,0,00:01:09,2023-07-11,18:46:58,2,107.3648389,5,0.334703161,7.115665349,0,0,0,0,0,163.7367989,83.15658634,104.6809403,0.028077996,0,0,28.8,0.011317777,28.8,,3,
70,0,00:01:10,2023-07-11,18:46:59,2,107.4795708,5,0.260667084,7.086619609,0,0,0,0,0,163.7367989,83.15658634,104.6809403,0.025200082,0,0,28.9,0.012702891,28.9,,3,
71,0,00:01:11,2023-07-11,18:47:00,2,107.6369975,5,0.577267048,7.039134695,1.391769834,1,0.456674477,0.96875,0.65625,163.7367989,83.15658634,104.6809403,0.035739786,0,0,28.9,0.014078164,28.9,,3,
72,0,00:01:12,2023-07-11,18:47:01,2,107.8266979,5,1.26113529,7.054528434,0,0,0,0,0,167.9310683,79.12932436,84.82022338,0.055317069,0,0,28.9,0.014474515,28.9,,3,
73,0,00:01:13,2023-07-11,18:47:02,2,108.0327201,5,0.983991189,7.132517085,0,0,0,0,0,167.9310683,79.12932436,84.82022338,0.102928871,0,0,28.9,0.013933649,28.9,,3,
74,0,00:01:14,2023-07-11,18:47:03,2,108.2250199,5,0.766333109,7.094493172,0,0,0,0,0,167.9310683,79.12932436,84.82022338,0.292146319,0,0,28.9,0.012598753,28.9,,3,
75,0,00:01:15,2023-07-11,18:47:04,2,108.3666421,5,0.596820825,7.013157641,0,0,0,0,0,167.9310683,79.12932436,84.82022338,0.163792219,0,0,28.9,0.010630232,28.9,,3,
76,0,00:01:16,2023-07-11,18:47:05,2,108.4448645,5,0.486465448,7.141154496,0.435335453,1,0.285688891,0,1.3125,153.3698786,73.00997074,70.12981089,0.121118342,0,0,28.9,0.008591851,28.9,,3,
77,0,00:01:17,2023-07-11,18:47:06,2,108.4635828,5,0.40534668,7.364807871,0,0,0,0,0,153.3698786,73.00997074,70.12981089,0.045419015,0,0,28.9,0.006871103,28.9,,3,
78,0,00:01:18,2023-07-11,18:47:07,2,108.4253088,5,0.315684312,7.620365383,0,0,0,0,0,153.3698786,73.00997074,70.12981089,0.047433488,0,0,28.9,0.005402883,28.9,,3,
79,0,00:01:19,2023-07-11,18:47:08,2,108.3380746,5,0.245855189,7.811681077,0,0,0,0,0,153.3698786,73.00997074,70.12981089,0.226826609,0,0,28.9,0.004289689,28.9,,3,
80,0,00:01:20,2023-07-11,18:47:09,2,108.2232677,1,0.191472214,7.794292693,0,0,0,0,0,108.693436,39.43254895,123.2557209,0.405614821,0,0,28.9,0.003632181,28.9,,4,
81,0,00:01:21,2023-07-11,18:47:10,2,108.109826,1,0.14911871,7.42268737,0,0,0,0,0,108.693436,39.43254895,123.2557209,0.190799314,0,0,28.9,0.003317895,28.9,,4,
82,0,00:01:22,2023-07-11,18:47:11,2,108.0138018,1,0.116133768,6.907665057,0,0,0,0,0,108.693436,39.43254895,123.2557209,0.236622578,0,0,28.9,0.003018717,28.9,,4,
83,0,00:01:23,2023-07-11,18:47:12,2,107.9322764,1,0.09044507,6.47787772,0,0,0,0,0,108.693436,39.43254895,123.2557209,0.283414118,0,0,28.9,0.002332406,28.9,,4,
84,0,00:01:24,2023-07-11,18:47:13,2,107.8528655,5,0.070438691,6.194181228,0,0,0,0,0,166.7737755,90.18103891,103.2249403,0.204695302,0,0,29,0.000676413,29,,4,
85,0,00:01:25,2023-07-11,18:47:14,2,107.7641485,5,0.054857708,6.272633047,0,0,0,0,0,166.7737755,90.18103891,103.2249403,0.173796676,0,0,29,-0.002492089,29,,4,
86,0,00:01:26,2023-07-11,18:47:15,2,107.666778,5,0.042723226,6.73155147,0,0,0,0,0,166.7737755,90.18103891,103.2249403,0.061910343,0,0,29,-0.007331603,29,,4,
87,0,00:01:27,2023-07-11,18:47:16,2,107.5706464,5,0.033272882,7.289397737,0,0,0,0,0,166.7737755,90.18103891,103.2249403,0.061120488,0,0,29,-0.013491565,29,,4,
88,0,00:01:28,2023-07-11,18:47:17,2,107.4847622,5,0.035476457,7.721249293,0.219451946,1,0.137157466,2.25,1.25,167.4360302,91.4541492,102.4767948,0.030916473,0,0,29,-0.020363886,29,,4,
89,0,00:01:29,2023-07-11,18:47:18,2,107.4162616,5,0.205616353,7.967547348,0,0,0,0,0,167.4360302,91.4541492,102.4767948,0.015997413,0,0,29,-0.02683788,29,,4,
90,0,00:01:30,2023-07-11,18:47:19,2,107.3659478,5,0.166444857,8.095651886,0,0,0,0,0,167.4360302,91.4541492,102.4767948,0.011509219,0,0,29,-0.031360104,29,,4,
91,0,00:01:31,2023-07-11,18:47:20,2,107.3316255,5,0.129627385,8.153288684,0,0,0,0,0,167.4360302,91.4541492,102.4767948,0.007045726,0,0,29,-0.033343808,29,,4,
92,0,00:01:32,2023-07-11,18:47:21,2,107.3106892,5,0.100953909,8.123164352,0,0,0,0,0,169.106909,88.3568225,100.765443,0.09479022,0,0,29,-0.033178926,29,,4,
93,0,00:01:33,2023-07-11,18:47:22,2,107.3018237,5,0.078622983,8.0011058,0,0,0,0,0,169.106909,88.3568225,100.765443,0.028310316,0,0,29,-0.031321512,29,,4,
94,0,00:01:34,2023-07-11,18:47:23,2,107.3052994,5,0.15964192,7.831701427,0.579857112,1,0.298988824,0,1.03125,169.106909,88.3568225,100.765443,0.082939429,0,0,29,-0.028252846,29,,4,
95,0,00:01:35,2023-07-11,18:47:24,2,107.3188761,5,0.537850641,7.586058317,0,0,0,0.5625,0,169.106909,88.3568225,100.765443,0.093882631,0,0,29,-0.024670111,29,,4,
96,0,00:01:36,2023-07-11,18:47:25,2,107.337525,5,0.422942196,7.430569122,0,0,0,0,0,170.4296737,87.39183281,99.20163578,0.077992743,0,0,29,-0.02145197,29,,4,
97,0,00:01:37,2023-07-11,18:47:26,2,107.3600116,5,0.329387714,7.323270635,0,0,0,0,0,170.4296737,87.39183281,99.20163578,0.02820009,0,0,29,-0.01893362,29,,4,
98,0,00:01:38,2023-07-11,18:47:27,2,107.3844549,5,0.256527409,7.28192553,0,0,0,0,0,170.4296737,87.39183281,99.20163578,0.02577559,0,0,29.1,-0.016900461,29.1,,4,
99,0,00:01:39,2023-07-11,18:47:28,2,107.4073002,5,0.199783747,7.273781151,0,0,0,0,0,170.4296737,87.39183281,99.20163578,0.012405663,0,0,29.1,-0.014772995,29.1,,4,
100,0,00:01:40,2023-07-11,18:47:29,2,107.424381,5,0.262715015,7.258778814,0.330738586,1,0.289396263,0,1.75,172.8746194,88.22693479,96.89903481,0.006917574,0,0,29.1,-0.011878232,29.1,,5,
101,0,00:01:41,2023-07-11,18:47:30,2,107.4354425,5,0.280051759,7.253601181,0,0,0,0,0,172.8746194,88.22693479,96.89903481,0.003872091,0,0,29.1,-0.008244304,29.1,,5,
102,0,00:01:42,2023-07-11,18:47:31,2,107.4421674,5,0.223518923,7.299564389,0.192346026,1,0.102183827,1.6875,1.0625,172.8746194,88.22693479,96.89903481,0.005186326,0,0,29.1,-0.004481909,29.1,,5,
103,0,00:01:43,2023-07-11,18:47:32,2,107.4467213,5,0.189935714,7.372696829,0,0,0,0,0,172.8746194,88.22693479,96.89903481,0.003927818,0,0,29.1,-0.001088714,29.1,,5,
104,0,00:01:44,2023-07-11,18:47:33,2,107.457199,5,0.147922083,7.45557025,0,0,0,0,0,173.0598854,88.62438604,96.80110128,0.003676116,0,0,29.1,0.001618183,29.1,,5,
