Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],Hr [1/min],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Marker,Segment id
0,0,00:00:00,2023-07-11,19:13:13,7,115.5903855,1,,111.2915178,25.36606659,76.86053547,0.509903424,0,2,26.1,0,26.1,,0
1,0,00:00:01,2023-07-11,19:13:14,7,115.5886481,1,,111.2915178,25.36606659,76.86053547,0.488287193,0,1,26.2,0.008216501,26.2,,0
2,0,00:00:02,2023-07-11,19:13:15,7,115.6167725,1,,111.2915178,25.36606659,76.86053547,0.2636142,0,0,26.2,0.036297469,26.2,,0
3,0,00:00:03,2023-07-11,19:13:16,7,115.6656382,1,,111.2915178,25.36606659,76.86053547,0.373662339,0,1,26.2,0.03448533,26.2,,0
4,0,00:00:04,2023-07-11,19:13:17,7,115.7130532,1,,62.6927099,27.31589607,90.63408205,0.253830321,0,2,26.2,0.023879126,26.2,,0
5,0,00:00:05,2023-07-11,19:13:18,7,115.7462099,1,,62.6927099,27.31589607,90.63408205,0.246787273,0,0,26.3,0.014707911,26.3,,0
6,0,00:00:06,2023-07-11,19:13:19,7,115.7649864,1,,62.6927099,27.31589607,90.63408205,0.092935198,0,0,26.3,0.015010059,26.3,,0
7,0,00:00:07,2023-07-11,19:13:20,7,115.7751824,1,,62.6927099,27.31589607,90.63408205,0.123195216,0,0,26.3,0.024318891,26.3,,0
8,0,00:00:08,2023-07-11,19:13:21,7,115.7784993,1,,51.57755311,38.62610474,86.62583079,0.162596376,0,0,26.3,0.024820222,26.3,,0
9,0,00:00:09,2023-07-11,19:13:22,7,115.7749801,1,,51.57755311,38.62610474,86.62583079,0.212592323,0,0,26.3,0.006758166,26.3,,0
10,0,00:00:10,2023-07-11,19:13:23,7,115.7733348,1,,51.57755311,38.62610474,86.62583079,0.204266996,0,0,26.3,-0.024005723,26.3,,0
11,0,00:00:11,2023-07-11,19:13:24,7,115.7872519,1,,51.57755311,38.62610474,86.62583079,0.087789621,0,0,26.3,-0.040311754,26.3,,0
12,0,00:00:12,2023-07-11,19:13:25,7,115.8238225,1,,70.91030112,22.22100307,79.05338543,0.10075469,0,0,26.4,-0.030578773,26.4,,0
13,0,00:00:13,2023-07-11,19:13:26,7,115.878283,1,,70.91030112,22.22100307,79.05338543,0.494156989,0,0,26.4,-0.016014348,26.4,,0
14,0,00:00:14,2023-07-11,19:13:27,7,115.9324642,1,,70.91030112,22.22100307,79.05338543,0.322218029,0,0,26.4,-0.007874961,26.4,,0
15,0,00:00:15,2023-07-11,19:13:28,7,115.9633986,1,,70.91030112,22.22100307,79.05338543,0.381313404,0,0,26.4,-0.000395753,26.4,,0
16,0,00:00:16,2023-07-11,19:13:29,7,115.9531468,1,,62.10825693,28.4002721,94.92925983,0.305463794,0,0,26.4,-0.001945143,26.4,,0
17,0,00:00:17,2023-07-11,19:13:30,7,115.8930606,1,,62.10825693,28.4002721,94.92925983,0.379230182,0,0,26.4,-0.00694981,26.4,,0
18,0,00:00:18,2023-07-11,19:13:31,7,115.7795866,1,,62.10825693,28.4002721,94.92925983,0.211515649,0,0,26.4,-0.014625571,26.4,,0
19,0,00:00:19,2023-07-11,19:13:32,7,115.6158668,1,,62.10825693,28.4002721,94.92925983,0.219163559,0,1,26.4,-0.022363977,26.4,,0
20,0,00:00:20,2023-07-11,19:13:33,7,115.4377713,5,,137.8806456,131.2912837,83.11834445,0.732587048,0,0,26.4,-0.026515787,26.4,,0
21,0,00:00:21,2023-07-11,19:13:34,7,115.312306,5,,137.8806456,131.2912837,83.11834445,0.767388049,0,2,26.5,-0.02415573,26.5,,0
22,0,00:00:22,2023-07-11,19:13:35,7,115.2702706,5,,137.8806456,131.2912837,83.11834445,0.634835654,0,2,26.5,-0.01915282,26.5,,0
23,0,00:00:23,2023-07-11,19:13:36,7,115.2984914,5,,137.8806456,131.2912837,83.11834445,0.281561695,0,0,26.5,-0.014436154,26.5,,0
24,0,00:00:24,2023-07-11,19:13:37,2,115.3661627,5,,164.1406439,89.67407105,74.1441707,0.211179961,0,0,26.5,-0.010500723,26.5,,0
25,0,00:00:25,2023-07-11,19:13:38,2,115.4391504,5,,164.1406439,89.67407105,74.1441707,0.12234046,0,0,26.5,-0.007700575,26.5,,1
26,0,00:00:26,2023-07-11,19:13:39,2,115.4964281,5,,164.1406439,89.67407105,74.1441707,0.093185558,0,0,26.5,-0.006749231,26.5,,1
27,0,00:00:27,2023-07-11,19:13:40,2,115.5374629,5,,164.1406439,89.67407105,74.1441707,0.108326938,0,0,26.5,-0.007822763,26.5,,1
28,0,00:00:28,2023-07-11,19:13:41,2,115.5701004,5,,164.8588278,81.55668597,77.52454696,0.150237422,0,0,26.5,-0.009997446,26.5,,1
29,0,00:00:29,2023-07-11,19:13:42,2,115.5789087,5,,164.8588278,81.55668597,77.52454696,0.157319566,0,0,26.5,-0.011745415,26.5,,1
30,0,00:00:30,2023-07-11,19:13:43,2,115.5322389,5,,164.8588278,81.55668597,77.52454696,0.114010135,0,0,26.5,-0.012082969,26.5,,1
31,0,00:00:31,2023-07-11,19:13:44,2,115.415228,5,,164.8588278,81.55668597,77.52454696,0.098882358,0,0,26.6,-0.010801096,26.6,,1
32,0,00:00:32,2023-07-11,19:13:45,2,115.2414966,5,,178.3042393,90.58921941,91.59004609,0.202434694,0,0,26.6,-0.008138205,26.6,,1
33,0,00:00:33,2023-07-11,19:13:46,2,115.0644978,5,,178.3042393,90.58921941,91.59004609,0.152619641,0,0,26.6,-0.004522398,26.6,,1
34,0,00:00:34,2023-07-11,19:13:47,2,114.9772521,5,,178.3042393,90.58921941,91.59004609,0.176453484,0,0,26.6,-0.000437412,26.6,,1
35,0,00:00:35,2023-07-11,19:13:48,2,115.0644702,5,,178.3042393,90.58921941,91.59004609,0.112550054,0,0,26.6,0.003062184,26.6,,1
36,0,00:00:36,2023-07-11,19:13:49,2,115.2197506,5,,170.4139651,99.01291167,86.76206094,0.114596082,0,0,26.6,0.004303606,26.6,,1
37,0,00:00:37,2023-07-11,19:13:50,2,115.3598509,5,,170.4139651,99.01291167,86.76206094,0.07916774,0,0,26.6,0.003174969,26.6,,1
38,0,00:00:38,2023-07-11,19:13:51,2,115.4704591,5,,170.4139651,99.01291167,86.76206094,0.088550693,0,0,26.6,0.001174432,26.6,,1
39,0,00:00:39,2023-07-11,19:13:52,2,115.5500181,5,,170.4139651,99.01291167,86.76206094,0.10427411,0,0,26.6,-0.000181151,26.6,,1
40,0,00:00:40,2023-07-11,19:13:53,2,115.5915242,5,,173.406227,95.94254864,92.84701055,0.104046404,0,0,26.7,-0.00022933,26.7,,1
41,0,00:00:41,2023-07-11,19:13:54,2,115.5969624,5,,173.406227,95.94254864,92.84701055,0.042001439,0,0,26.7,0.000515385,26.7,,1
42,0,00:00:42,2023-07-11,19:13:55,2,115.5883571,5,,173.406227,95.94254864,92.84701055,0.119279913,0,0,26.7,0.001362786,26.7,,1
43,0,00:00:43,2023-07-11,19:13:56,2,115.5918471,5,,173.406227,95.94254864,92.84701055,0.166333067,0,0,26.7,0.001925546,26.7,,1
44,0,00:00:44,2023-07-11,19:13:57,2,115.6129925,5,,175.0687213,92.61624381,85.82286696,0.156374636,0,0,26.7,0.002741092,26.7,,1
45,0,00:00:45,2023-07-11,19:13:58,2,115.639915,5,,175.0687213,92.61624381,85.82286696,0.051330718,0,0,26.8,0.004903734,26.8,,1
46,0,00:00:46,2023-07-11,19:13:59,2,115.6570526,5,,175.0687213,92.61624381,85.82286696,0.062589647,0,0,26.8,0.008998824,26.8,,1
47,0,00:00:47,2023-07-11,19:14:00,2,115.6484371,5,,175.0687213,92.61624381,85.82286696,0.018024856,0,0,26.8,0.014861444,26.8,,1
48,0,00:00:48,2023-07-11,19:14:01,2,115.6031819,5,,163.8728438,106.0282022,91.73735513,0.031264285,0,0,26.8,0.020884058,26.8,,1
49,0,00:00:49,2023-07-11,19:14:02,2,115.5265747,5,,163.8728438,106.0282022,91.73735513,0.048628829,0,0,26.9,0.023924608,26.9,,1
50,0,00:00:50,2023-07-11,19:14:03,2,115.4371105,5,,163.8728438,106.0282022,91.73735513,0.093075393,0,0,26.9,0.021079897,26.9,,2
51,0,00:00:51,2023-07-11,19:14:04,2,115.3623447,5,,163.8728438,106.0282022,91.73735513,0.17074342,0,0,26.9,0.016138334,26.9,,2
52,0,00:00:52,2023-07-11,19:14:05,2,115.3325499,5,,168.5579139,101.1959794,92.33034876,0.262499782,0,0,26.9,0.012020391,26.9,,2
53,0,00:00:53,2023-07-11,19:14:06,2,115.3609093,5,,168.5579139,101.1959794,92.33034876,0.225145931,0,0,27,0.009097996,27,,2
54,0,00:00:54,2023-07-11,19:14:07,2,115.4324998,5,,168.5579139,101.1959794,92.33034876,0.199695667,0,0,27,0.007396052,27,,2
55,0,00:00:55,2023-07-11,19:14:08,2,115.5113742,5,,168.5579139,101.1959794,92.33034876,0.189223373,0,0,27,0.007269083,27,,2
56,0,00:00:56,2023-07-11,19:14:09,2,115.5769837,5,,174.6441317,86.37190443,86.06544838,0.136493922,0,0,27,0.008531056,27,,2
57,0,00:00:57,2023-07-11,19:14:10,2,115.6259413,5,,174.6441317,86.37190443,86.06544838,0.099929286,0,0,27.1,0.010029508,27.1,,2
58,0,00:00:58,2023-07-11,19:14:11,2,115.6584004,5,,174.6441317,86.37190443,86.06544838,0.076277409,0,0,27.1,0.010598488,27.1,,2
59,0,00:00:59,2023-07-11,19:14:12,2,115.6744472,5,,174.6441317,86.37190443,86.06544838,0.054378477,0,0,27.1,0.009962015,27.1,,2
60,0,00:01:00,2023-07-11,19:14:13,2,115.6761939,5,,176.6174737,91.46704031,86.95283546,0.057689562,0,0,27.1,0.008640413,27.1,,2
61,0,00:01:01,2023-07-11,19:14:14,2,115.6724785,5,,176.6174737,91.46704031,86.95283546,0.04901947,0,0,27.2,0.007493342,27.2,,2
62,0,00:01:02,2023-07-11,19:14:15,2,115.6701355,5,,176.6174737,91.46704031,86.95283546,0.029446291,0,0,27.2,0.007378253,27.2,,2
63,0,00:01:03,2023-07-11,19:14:16,2,115.6710657,5,,176.6174737,91.46704031,86.95283546,0.02205977,0,0,27.2,0.008830022,27.2,,2
64,0,00:01:04,2023-07-11,19:14:17,2,115.6757872,5,,175.674161,92.89882734,86.791874,0.032135073,0,0,27.2,0.01170937,27.2,,2
65,0,00:01:05,2023-07-11,19:14:18,2,115.6877623,5,,175.674161,92.89882734,86.791874,0.020395437,0,0,27.3,0.0154097,27.3,,2
66,0,00:01:06,2023-07-11,19:14:19,2,115.7084422,5,,175.674161,92.89882734,86.791874,0.016308381,0,0,27.3,0.018650227,27.3,,2
67,0,00:01:07,2023-07-11,19:14:20,2,115.734301,5,,175.674161,92.89882734,86.791874,0.012714703,0,0,27.3,0.019826042,27.3,,2
68,0,00:01:08,2023-07-11,19:14:21,2,115.7645036,5,,175.5443967,90.59347606,85.58425681,0.011032176,0,0,27.3,0.018501048,27.3,,2
69,0,00:01:09,2023-07-11,19:14:22,2,115.8023276,5,,175.5443967,90.59347606,85.58425681,0.042297458,0,0,27.4,0.015468994,27.4,,2
70,0,00:01:10,2023-07-11,19:14:23,2,115.844363,5,,175.5443967,90.59347606,85.58425681,0.050655594,0,0,27.4,0.01217772,27.4,,2
71,0,00:01:11,2023-07-11,19:14:24,2,115.8792128,5,,175.5443967,90.59347606,85.58425681,0.058425517,0,0,27.4,0.009694633,27.4,,2
72,0,00:01:12,2023-07-11,19:14:25,2,115.8992033,5,,174.0134455,91.43433379,84.1890327,0.070417242,0,0,27.4,0.008416148,27.4,,2
73,0,00:01:13,2023-07-11,19:14:26,2,115.9018909,5,,174.0134455,91.43433379,84.1890327,0.02096851,0,0,27.5,0.008212553,27.5,,2
74,0,00:01:14,2023-07-11,19:14:27,2,115.890487,5,,174.0134455,91.43433379,84.1890327,0.009138485,0,0,27.5,0.008766686,27.5,,2
75,0,00:01:15,2023-07-11,19:14:28,2,115.8743596,5,,174.0134455,91.43433379,84.1890327,0.01064907,0,0,27.5,0.00989379,27.5,,3
76,0,00:01:16,2023-07-11,19:14:29,2,115.8624064,5,,173.715833,92.96391045,84.46366547,0.009979558,0,0,27.5,0.011293587,27.5,,3
77,0,00:01:17,2023-07-11,19:14:30,2,115.8592525,5,,173.715833,92.96391045,84.46366547,0.011484125,0,0,27.6,0.012675822,27.6,,3
78,0,00:01:18,2023-07-11,19:14:31,2,115.8661464,5,,173.715833,92.96391045,84.46366547,0.021905339,0,0,27.6,0.013784409,27.6,,3
79,0,00:01:19,2023-07-11,19:14:32,2,115.8839918,5,,173.715833,92.96391045,84.46366547,0.024533686,0,0,27.6,0.014406015,27.6,,3
80,0,00:01:20,2023-07-11,19:14:33,2,115.9032013,5,,171.8230514,94.71133313,83.3319056,0.3090811,0,0,27.6,0.014388107,27.6,mark -start,3
81,0,00:01:21,2023-07-11,19:14:34,2,115.9075051,5,,171.8230514,94.71133313,83.3319056,0.049044002,0,0,27.6,0.013841956,27.6,,3
82,0,00:01:22,2023-07-11,19:14:35,2,115.8974397,5,,171.8230514,94.71133313,83.3319056,0.023668444,0,0,27.7,0.013126945,27.7,,3
83,0,00:01:23,2023-07-11,19:14:36,2,115.8811007,5,,171.8230514,94.71133313,83.3319056,0.01559065,0,0,27.7,0.012426782,27.7,,3
84,0,00:01:24,2023-07-11,19:14:37,2,115.8645281,5,,170.7334393,96.34315222,83.27250443,0.016768269,0,0,27.7,0.01176543,27.7,,3
85,0,00:01:25,2023-07-11,19:14:38,2,115.858128,5,,170.7334393,96.34315222,83.27250443,0.012605146,0,0,27.7,0.011325842,27.7,,3
86,0,00:01:26,2023-07-11,19:14:39,2,115.8700096,5,,170.7334393,96.34315222,83.27250443,0.011108937,0,0,27.7,0.011419836,27.7,,3
87,0,00:01:27,2023-07-11,19:14:40,2,115.8965644,5,,170.7334393,96.34315222,83.27250443,0.007472949,0,0,27.8,0.012181472,27.8,,3
88,0,00:01:28,2023-07-11,19:14:41,2,115.9286811,5,,170.9486822,96.57224252,83.8039317,0.008355132,0,0,27.8,0.013518509,27.8,,3
89,0,00:01:29,2023-07-11,19:14:42,2,115.9631138,5,,170.9486822,96.57224252,83.8039317,0.006317897,0,0,27.8,0.015143184,27.8,,3
90,0,00:01:30,2023-07-11,19:14:43,2,115.9999925,5,,170.9486822,96.57224252,83.8039317,0.006029216,0,0,27.8,0.016473647,27.8,,3
91,0,00:01:31,2023-07-11,19:14:44,2,116.0377344,5,,170.9486822,96.57224252,83.8039317,0.004831484,0,0,27.8,0.01721905,27.8,,3
92,0,00:01:32,2023-07-11,19:14:45,2,116.0708136,5,,170.8701793,96.62155789,83.74254162,0.004072911,0,0,27.9,0.017589491,27.9,,3
93,0,00:01:33,2023-07-11,19:14:46,2,116.0935616,5,193.5703378,170.8701793,96.62155789,83.74254162,0.004905202,0,0,27.9,0.017899062,27.9,,3
94,0,00:01:34,2023-07-11,19:14:47,2,116.1050174,5,195.6368209,170.8701793,96.62155789,83.74254162,0.004235142,0,0,27.9,0.018166639,27.9,,3
95,0,00:01:35,2023-07-11,19:14:48,2,116.1098589,5,,170.8701793,96.62155789,83.74254162,0.005122797,0,0,27.9,0.01835557,27.9,,3
96,0,00:01:36,2023-07-11,19:14:49,2,116.1149824,5,200.9832817,170.9215223,96.57837386,83.77113569,0.005044612,0,0,27.9,0.018680207,27.9,,3
97,0,00:01:37,2023-07-11,19:14:50,2,116.1248803,5,,170.9215223,96.57837386,83.77113569,0.004336341,0,0,27.9,0.019088384,27.9,,3
98,0,00:01:38,2023-07-11,19:14:51,2,116.1435251,5,167.4125874,170.9215223,96.57837386,83.77113569,0.003553513,0,0,28,0.019543284,28,,3
99,0,00:01:39,2023-07-11,19:14:52,2,116.1728124,5,201.6128694,170.9215223,96.57837386,83.77113569,0.004067647,0,0,28,0.02005981,28,,3
100,0,00:01:40,2023-07-11,19:14:53,2,116.210388,5,200.8641867,170.9164774,96.56792663,83.75285756,0.004413094,0,0,28,0.020428279,28,,4
101,0,00:01:41,2023-07-11,19:14:54,2,116.252466,5,166.9565217,170.9164774,96.56792663,83.75285756,0.005225268,0,0,28,0.020364658,28,,4
102,0,00:01:42,2023-07-11,19:14:55,2,116.2939277,5,199.4805195,170.9164774,96.56792663,83.75285756,0.004454035,0,0,28,0.019981707,28,,4
103,0,00:01:43,2023-07-11,19:14:56,2,116.3296393,5,,170.9164774,96.56792663,83.75285756,0.004967875,0,0,28,0.019563614,28,,4
104,0,00:01:44,2023-07-11,19:14:57,2,116.3520953,5,,170.7826231,96.84199845,83.85317007,0.004742686,0,0,28.1,0.019138584,28.1,,4
105,0,00:01:45,2023-07-11,19:14:58,2,116.3617589,5,200.1302932,170.7826231,96.84199845,83.85317007,0.004937168,0,0,28.1,0.018492088,28.1,,4
106,0,00:01:46,2023-07-11,19:14:59,2,116.3693478,5,214.4509149,170.7826231,96.84199845,83.85317007,0.003895828,0,0,28.1,0.017578092,28.1,,4
107,0,00:01:47,2023-07-11,19:15:00,2,116.3852192,5,176.5517241,170.7826231,96.84199845,83.85317007,0.010338849,0,0,28.1,0.016707034,28.1,,4
108,0,00:01:48,2023-07-11,19:15:01,2,116.4108244,5,209.1472584,170.3763009,97.12641088,83.56593271,0.010426544,0,0,28.1,0.016281901,28.1,,4
109,0,00:01:49,2023-07-11,19:15:02,2,116.4355129,5,,170.3763009,97.12641088,83.56593271,0.013651371,0,0,28.1,0.016466581,28.1,,4
110,0,00:01:50,2023-07-11,19:15:03,2,116.4492311,5,214.0766551,170.3763009,97.12641088,83.56593271,0.018166033,0,0,28.1,0.017132632,28.1,,4
111,0,00:01:51,2023-07-11,19:15:04,2,116.4510029,5,176.9105691,170.3763009,97.12641088,83.56593271,0.007362113,0,0,28.2,0.017904424,28.2,,4
112,0,00:01:52,2023-07-11,19:15:05,2,116.4478559,5,209.4863174,170.9952237,96.97726589,84.33582432,0.00590621,0,0,28.2,0.018358987,28.2,,4
113,0,00:01:53,2023-07-11,19:15:06,2,116.4462626,5,157.5384615,170.9952237,96.97726589,84.33582432,0.004780174,0,0,28.2,0.018279471,28.2,,4
114,0,00:01:54,2023-07-11,19:15:07,2,116.4505481,5,,170.9952237,96.97726589,84.33582432,0.004735521,0,0,28.2,0.017641036,28.2,,4
115,0,00:01:55,2023-07-11,19:15:08,2,116.4605847,5,230.9774436,170.9952237,96.97726589,84.33582432,0.004084853,0,0,28.2,0.016503714,28.2,,4
116,0,00:01:56,2023-07-11,19:15:09,2,116.4760339,5,230.9774436,171.1445586,96.98667098,84.58599603,0.004602005,0,0,28.2,0.014973594,28.2,,4
117,0,00:01:57,2023-07-11,19:15:10,2,116.4960259,5,,171.1445586,96.98667098,84.58599603,0.005085067,0,0,28.2,0.013333421,28.2,,4
118,0,00:01:58,2023-07-11,19:15:11,2,116.5181327,5,,171.1445586,96.98667098,84.58599603,0.004884909,0,0,28.2,0.011901698,28.2,,4
119,0,00:01:59,2023-07-11,19:15:12,2,116.5362631,5,136.5333333,171.1445586,96.98667098,84.58599603,0.004156793,0,0,28.3,0.011010562,28.3,,4
120,0,00:02:00,2023-07-11,19:15:13,2,116.547499,5,182.6111016,171.184279,96.93645634,84.58586093,0.003814708,0,0,28.3,0.010756268,28.3,,4
121,0,00:02:01,2023-07-11,19:15:14,2,116.5553176,5,230.5449016,171.184279,96.93645634,84.58586093,0.003522993,0,0,28.3,0.010801087,28.3,,4
122,0,00:02:02,2023-07-11,19:15:15,2,116.5657368,5,162.504171,171.184279,96.93645634,84.58586093,0.003755165,0,0,28.3,0.010778571,28.3,,4
123,0,00:02:03,2023-07-11,19:15:16,2,116.5825483,5,,171.184279,96.93645634,84.58586093,0.005557864,0,0,28.3,0.01061353,28.3,,4
124,0,00:02:04,2023-07-11,19:15:17,2,116.6067053,5,,171.0625495,97.07709781,84.56959225,0.004812072,0,0,28.3,0.010666864,28.3,,4
125,0,00:02:05,2023-07-11,19:15:18,2,116.6342107,5,190.5002064,171.0625495,97.07709781,84.56959225,0.003826364,0,0,28.3,0.011274461,28.3,,5
126,0,00:02:06,2023-07-11,19:15:19,2,116.6572909,5,107.2251309,171.0625495,97.07709781,84.56959225,0.003571291,0,0,28.3,0.012227949,28.3,,5
127,0,00:02:07,2023-07-11,19:15:20,2,116.6736298,5,182.148352,171.0625495,97.07709781,84.56959225,0.00363566,0,0,28.4,0.013168046,28.4,,5
128,0,00:02:08,2023-07-11,19:15:21,2,116.6844025,5,200.1302932,171.1738349,97.01404695,84.66921662,0.004450878,0,0,28.4,0.013903005,28.4,,5
129,0,00:02:09,2023-07-11,19:15:22,2,116.6889957,5,,171.1738349,97.01404695,84.66921662,0.005192689,0,0,28.4,0.014245048,28.4,,5
130,0,00:02:10,2023-07-11,19:15:23,2,116.6867002,5,149.8536585,171.1738349,97.01404695,84.66921662,0.004194727,0,0,28.4,0.014160022,28.4,,5
131,0,00:02:11,2023-07-11,19:15:24,2,116.6805969,5,166.9565217,171.1738349,97.01404695,84.66921662,0.003851282,0,0,28.4,0.013667626,28.4,,5
132,0,00:02:12,2023-07-11,19:15:25,2,116.6747885,5,177.5258637,171.0807256,97.15630367,84.70417495,0.003800059,0,0,28.4,0.012862463,28.4,,5
133,0,00:02:13,2023-07-11,19:15:26,2,116.6714016,5,215.5538684,171.0807256,97.15630367,84.70417495,0.004330378,0,0,28.4,0.011872318,28.4,,5
134,0,00:02:14,2023-07-11,19:15:27,2,116.6736907,5,,171.0807256,97.15630367,84.70417495,0.003633022,0,0,28.4,0.011083766,28.4,,5
135,0,00:02:15,2023-07-11,19:15:28,2,116.6825793,5,,171.0807256,97.15630367,84.70417495,0.003856593,0,0,28.4,0.010833914,28.4,,5
136,0,00:02:16,2023-07-11,19:15:29,2,116.6977977,5,194.4604442,171.1642413,97.07656348,84.73616631,0.004152892,0,0,28.5,0.011041299,28.5,,5
137,0,00:02:17,2023-07-11,19:15:30,2,116.7186167,5,174.9919758,171.1642413,97.07656348,84.73616631,0.004997747,0,0,28.5,0.011385461,28.5,,5
138,0,00:02:18,2023-07-11,19:15:31,2,116.7448519,5,187.3170732,171.1642413,97.07656348,84.73616631,0.003723562,0,0,28.5,0.011596514,28.5,,5
139,0,00:02:19,2023-07-11,19:15:32,2,116.7761905,5,214.0766551,171.1642413,97.07656348,84.73616631,0.004225252,0,0,28.5,0.011490613,28.5,,5
140,0,00:02:20,2023-07-11,19:15:33,2,116.8056134,5,,171.0471984,97.19960288,84.70660479,0.004240109,0,0,28.5,0.011107054,28.5,,5
141,0,00:02:21,2023-07-11,19:15:34,2,116.8297292,5,,171.0471984,97.19960288,84.70660479,0.004344329,0,0,28.5,0.010691074,28.5,,5
142,0,00:02:22,2023-07-11,19:15:35,2,116.8494497,5,215.4483366,171.0471984,97.19960288,84.70660479,0.004054907,0,0,28.5,0.010430893,28.5,,5
143,0,00:02:23,2023-07-11,19:15:36,2,116.8636545,5,,171.0471984,97.19960288,84.70660479,0.004445407,0,0,28.5,0.010361886,28.5,,5
144,0,00:02:24,2023-07-11,19:15:37,2,116.8712253,5,178.9155175,171.0543048,97.23166153,84.76226842,0.004551428,0,0,28.5,0.01031225,28.5,,5
145,0,00:02:25,2023-07-11,19:15:38,2,116.8723951,5,193.7236832,171.0543048,97.23166153,84.76226842,0.003800299,0,0,28.6,0.010216558,28.6,,5
146,0,00:02:26,2023-07-11,19:15:39,2,116.8690373,5,,171.0543048,97.23166153,84.76226842,0.003949915,0,0,28.6,0.010099545,28.6,,5
147,0,00:02:27,2023-07-11,19:15:40,2,116.8624299,5,,171.0543048,97.23166153,84.76226842,0.004250378,0,0,28.6,0.010082621,28.6,,5
148,0,00:02:28,2023-07-11,19:15:41,2,116.8576923,5,195.5685869,171.1064682,97.22869257,84.84675712,0.004924719,0,0,28.6,0.010237101,28.6,,5
